Name,Date,Location,Type,Region,Weather
Kate Alice Marshall,1/22/2024 |  Elliott Bay Book Company, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Machine Head,1/22/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Silent Movie Mondays – Safety Last,1/22/2024 |  The Paramount Theatre, The Paramount Theatre,Film & Media Arts,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Buck Meek,1/23/2024 |  The Crocodile, The Crocodile,Music,Downtown,No forecast available
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024 |  Washington Park Arboretum, Washington Park Arboretum,Tours & Attractions,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Synthwave DJ Dance Party,1/23/2024 |  High Dive, High Dive,Music,Fremont / Ballard,"Areas of fog. Cloudy, with a high near 34. South southwest wind 7 to 15 mph, with gusts as high as 21 mph."
Wiley from Atlanta,1/23/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 32. Wind chill values as low as -1. Southwest wind 2 to 6 mph."
Winter Reverb,1/23/2024 |  Chop Suey, Chop Suey,Music,Capitol Hill / Central District,No forecast available
Tribute to John Williams,Now through 1/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Corey Harper,1/24/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
DJ Shadow,1/24/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Opera on Tap,1/24/2024 |  The Royal Room, The Royal Room,Music,South Seattle,"Rain showers after 11am. Mostly cloudy, with a high near 63. Southeast wind 3 to 7 mph. Chance of precipitation is 90%."
PBS – Peter Band Supreme,1/24/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Chicago Blackhawks,1/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Silent Planet,1/24/2024 |  El Corazon, El Corazon,Music,Downtown,No forecast available
Stuff You Should Know,1/24/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
The Cooking Gene,1/24/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Aryana Leon,1/25/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
Colorworks,1/25/2024 |  Nectar Lounge, Nectar Lounge,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 47. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Dar Williams,1/25/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Deb Perelman,1/25/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Emanuel Brown,1/25/2024 |  Chop Suey, Chop Suey,Music,Capitol Hill / Central District,No forecast available
James Miles,1/25/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Madeline Pendleton,1/25/2024 |  Elliott Bay Book Company, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
October London,1/25/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Empire Strykers,1/25/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Dungeons and Drag Queens,1/26/2024 |  The Crocodile, The Crocodile,Theatre,Downtown,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Global Rhythms: Yungchen Lhamo,1/26/2024 |  Town Hall Seattle, Town Hall Seattle,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Harlem Globetrotters 2024 World Tour –,1/26/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. St. Louis Blues,1/26/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Shelf Nunny,1/26/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
Super Diamond – The Neil Diamond Tribute Band,1/26/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Disorderlies,1/26/2024 |  Slim's Last Chance, Slim's Last Chance,Music,South Seattle,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Compania Nacional de Danza,1/25/2024 through 1/27/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Dance,University District,Location not found
Metropolis,1/25/2024 through 1/27/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Andy Coe Band,1/26/2024 through 1/27/2024 |  Nectar Lounge, Nectar Lounge,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 47. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Harlem Globetrotters,1/27/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
The Budos Band,1/27/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Human Family,1/27/2024 |  Opera Center, Opera Center,Music,Queen Anne / Seattle Center,No forecast available
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Hanako O’Leary: Izanami,Now through 1/28/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Gage Alumni Show,Now through 1/28/2024 |  Fountainhead Gallery, Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,"A slight chance of rain showers after 10am. Mostly cloudy, with a high near 69. East wind 10 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 20%."
Bohemia,Now through 1/28/2024 |  The Triple Door, The Triple Door,Theatre,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Celebrate Asia,1/28/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Family Day with Birds Connect Seattle,1/28/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. San Diego Sockers,1/28/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Adira Sharkey,1/29/2024 |  Tractor Tavern, Tractor Tavern,Music,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
"Car, The Garden",1/29/2024 |  The Crocodile, The Crocodile,Music,Downtown,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Cheryl Wheeler,1/30/2024 |  The Triple Door, The Triple Door,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Giantish,1/30/2024 |  High Dive, High Dive,Music,Fremont / Ballard,"Areas of fog. Cloudy, with a high near 34. South southwest wind 7 to 15 mph, with gusts as high as 21 mph."
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
A/political Rocks,Now through 1/31/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Sophia Al-Maria,Now through 1/31/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Jahari Stampley,1/30/2024 through 1/31/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
FRAKTURED: Home of the Broken Beat,1/31/2024 |  High Dive, High Dive,Music,Fremont / Ballard,"Areas of fog. Cloudy, with a high near 34. South southwest wind 7 to 15 mph, with gusts as high as 21 mph."
G3- 25th Anniversary reunion,1/31/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,No forecast available
JP Saxe,1/31/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Los Lobos,1/31/2024 |  The Triple Door, The Triple Door,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
BabyTron,2/1/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Catalyzing Change with Akuyea Karen Vargas,2/1/2024 |  Bainbridge Island Museum of Art, Bainbridge Island Museum of Art,Readings & Lectures,West,"Rain likely. Mostly cloudy, with a high near 47. South southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Jamila Woods,2/1/2024 |  Neumos, Neumos,Music,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Jazz is Dead: Blue Note 85,2/1/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Michelle Cann,2/1/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Pakt,2/1/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 32. Wind chill values as low as -1. Southwest wind 2 to 6 mph."
Erik Walters,2/2/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
Memoir,2/2/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Nora En Pure,2/2/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Poolside,2/2/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Monterrey Flash,2/2/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024 |  On The Boards, On The Boards,Theatre,Queen Anne / Seattle Center,No forecast available
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
All Will Suffer,2/3/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 32. Wind chill values as low as -1. Southwest wind 2 to 6 mph."
Cold War Kids – 20 Years Tour,2/3/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,No forecast available
Mau P,2/3/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Randy Rainbow for President,2/3/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
The Delta Bombers,2/3/2024 |  El Corazon, El Corazon,Music,Downtown,No forecast available
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Sergio Mendes,2/1/2024 through 2/4/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Daniel Tiger’s Neighborhood,2/4/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Lil Skies,2/4/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Criminal,2/5/2024 |  The Moore Theatre, The Moore Theatre,Theatre,Downtown,No forecast available
Neck Deep,2/5/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Kazu Kibuishi with Donna Barba Higuera,2/6/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Night Lovell,2/6/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Soja,2/6/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Kenny Barron Trio,2/6/2024 through 2/7/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Kills,2/7/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Art and Transformation,2/8/2024 |  Bainbridge Island Museum of Art, Bainbridge Island Museum of Art,Readings & Lectures,West,"Rain likely. Mostly cloudy, with a high near 47. South southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Eric Bellinger,2/8/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Futurebirds and Nude Party,2/8/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Ilana Glazer Live,2/8/2024 |  The Moore Theatre, The Moore Theatre,Theatre,Downtown,No forecast available
Mister Blank,2/8/2024 |  Nectar Lounge, Nectar Lounge,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 47. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
The Thorn,2/8/2024 through 2/9/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Barry Can’t Swim,2/9/2024 |  Neumos, Neumos,Music,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Dark Star Orchestra,2/9/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Gov’t Mule,2/9/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,"A chance of snow showers between 8am and 4pm, then a slight chance of snow showers and a slight chance of freezing rain. Cloudy, with a high near 30. South southwest wind 14 to 17 mph, with gusts as high as 26 mph. Chance of precipitation is 30%. Little or no snow accumulation expected."
Mayer Hawthorne,2/9/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Moontricks,2/9/2024 |  The Crocodile, The Crocodile,Music,Downtown,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
OBOE / OBOE,2/9/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Boat Show,2/2/2024 through 2/10/2024 |  Lumen Field, Lumen Field,Festivals & Special Events,Pioneer Square,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Art by Design,2/9/2024 through 2/10/2024 |  Seattle Design Center, Seattle Design Center,Visual Arts & Galleries,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Brazilian Carnaval 2024,2/10/2024 |  The Crocodile, The Crocodile,Music,Downtown,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Chase Rice,2/10/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Joe “Mr. D”  Dombrowski,2/10/2024 |  The Moore Theatre, The Moore Theatre,Theatre,Downtown,"A chance of snow showers between 8am and 4pm, then a slight chance of snow showers and a slight chance of freezing rain. Cloudy, with a high near 30. South southwest wind 14 to 17 mph, with gusts as high as 26 mph. Chance of precipitation is 30%. Little or no snow accumulation expected."
JVNA,2/10/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Temptations &  The Four Tops,2/10/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Quixote Nuevo,Now through 2/11/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Blood Sweat  and Tears,2/8/2024 through 2/11/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Love at the Zoo,2/10/2024 through 2/11/2024 |  Point Defiance Zoo and Aquarium, Point Defiance Zoo and Aquarium,Festivals & Special Events,South,"Rain likely. Mostly cloudy, with a high near 49. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Scott Bradlee’s Postmodern Jukebox,2/11/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
