Name,Date,Location,Type,Region,Weather
Shine On Seattle,1/30/2024 through 4/29/2024 |  Pioneer Square, Pioneer Square,Festivals & Special Events,Pioneer Square,"Rain likely. Cloudy. High near 44, with temperatures falling to around 42 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
Noah Geller’s Playlist,5/3/2024 through 5/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Broadway Spectacular,5/4/2024 |  Cornish Playhouse at Seattle Center, Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,Location not found
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Lion Tells His Tale,5/1/2024 through 5/5/2024 |  Broadway Performance Hall, Broadway Performance Hall,Theatre,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Fat Ham,4/12/2024 through 5/12/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024 |  Seattle Children's Theatre, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Lehman Trilogy,4/26/2024 through 5/12/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Mother,5/17/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Barber Violin Concerto,5/16/2024 through 5/18/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Barber of Seville,5/4/2024 through 5/24/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Unriveled,5/10/2024 through 6/2/2024 |  Seattle Public Theater, Seattle Public Theater,Theatre,Wallingford / Greenlake,"Rain likely. Mostly cloudy, with a high near 47. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024 |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
"Together Again, Again!",5/31/2024 through 6/23/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lip Sync for Our Rights,6/22/2024 through 6/23/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Company,6/23/2024 through 6/28/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Spring Awakening,6/7/2024 through 6/30/2024 |  The 5th Avenue Theatre, The 5th Avenue Theatre,Theatre,Downtown,"Sunny, with a high near 34. Southwest wind 5 to 10 mph."
Girl From The North Country,6/25/2024 through 6/30/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Clue,7/9/2024 through 7/21/2024 |  The 5th Avenue Theatre, The 5th Avenue Theatre,Theatre,Downtown,"Sunny, with a high near 34. Southwest wind 5 to 10 mph."
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Olivia Rodrigo,8/6/2024 through 8/7/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024 |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Sound Check! The Music We Make,Now through 9/14/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Raul de Nieves,Now through 9/30/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Frye Salon,Now through 10/27/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024 |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026 |  Bellevue Arts Museum, Bellevue Arts Museum,Museums,Bellevue / Eastside,No forecast available
Explore The Market,Ongoing |  Pike Place Market, Pike Place Market,Festivals & Special Events,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Olympic Sculpture Park,Ongoing |  Olympic Sculpture Park, Olympic Sculpture Park,Visual Arts & Galleries,Downtown,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Infinite Worlds of Science Fiction,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
John Grade: Middle Fork,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Scared to Death: The Thrill of Horror Film,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Nirvana: Taking Punk To the Masses,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Vietnam Divided: War Above Southeast Asia,Ongoing |  The Museum of Flight, The Museum of Flight,Museums,South Seattle,"Rain showers. Cloudy, with a high near 52. Southeast wind 10 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between 1 and 2 inches possible."
Science Fiction and Fantasy Hall of Fame,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Honoring Our Journey,Ongoing |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing |  Museum of Glass, Museum of Glass,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Great Hall of Washington History,Ongoing |  Washington State History Museum, Washington State History Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Humboldt Penguin Exhibit,Ongoing |  Woodland Park Zoo, Woodland Park Zoo,Museums,Wallingford / Greenlake,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Giant Pacific Octopus,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Meet our Marine Mammals,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Window on Washington Waters,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Guitar Gallery,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Nordic Journeys,Ongoing |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Baird’s beaked whale,Ongoing |  Burke Museum, Burke Museum,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Amazing Life,Ongoing |  Burke Museum, Burke Museum,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Culture is Living,Ongoing |  Burke Museum, Burke Museum,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Fossils Uncovered,Ongoing |  Burke Museum, Burke Museum,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Northwest Native Art,Ongoing |  Burke Museum, Burke Museum,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Our Material World,Ongoing |  Burke Museum, Burke Museum,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Apollo,Ongoing |  The Museum of Flight, The Museum of Flight,Museums,South Seattle,"Rain showers. Cloudy, with a high near 52. Southeast wind 10 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between 1 and 2 inches possible."
Art and Life Along the Northwest Coast,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Washington: My Home,Ongoing |  Washington State History Museum, Washington State History Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Sensory-Friendly Programs,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Dale Chihuly at Tacoma Art Museum,Ongoing |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Be/longing: Contemporary Asian Art,Ongoing |  Seattle Asian Art Museum, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Porcelain Room,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Life on the Edge,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tropical Pacific,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Underwater Dome,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Meet the Animals,Ongoing |  Woodland Park Zoo, Woodland Park Zoo,Museums,Wallingford / Greenlake,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Chihuly Garden and Glass,Ongoing |  Chihuly Garden and Glass, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Discover Ancient Coast Salish Culture,Ongoing |  Hibulb Cultural Center, Hibulb Cultural Center,Museums,North,"Rain likely. Mostly cloudy. High near 50, with temperatures falling to around 48 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Savor Seattle Signature Tour: Pike Place Market,Ongoing |  Pike Place Market, Pike Place Market,Tours & Attractions,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Untold Stories: World War II at 75,Ongoing |  The Museum of Flight, The Museum of Flight,Museums,South Seattle,"Rain showers. Cloudy, with a high near 52. Southeast wind 10 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between 1 and 2 inches possible."
Bezos Center for Innovation,Ongoing |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
Maritime Seattle,Ongoing |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
True Northwest: The Seattle Journey,Ongoing |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Winter in the West,Ongoing |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Ballard Farmers Market – Sunday,Ongoing |  Ballard Farmers Market, Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,Location not found
Capitol Hill Farmers Market – Sunday,Ongoing |  Capitol Hill Farmers Market, Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
University District Farmers Market,Ongoing |  University District Farmers Market, University District Farmers Market,Festivals & Special Events,University District,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Fremont Sunday Market,Ongoing |  Fremont Farmers Market, Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing |  Chihuly Garden and Glass, Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Boundless: Stories of Asian Art,Ongoing |  Seattle Asian Art Museum, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Kenzan Tsutakawa-Chinn: Gather,Ongoing |  Seattle Asian Art Museum, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Art Walk Edmonds | Every Third Thursday,Ongoing |  Cascadia Art Museum, Cascadia Art Museum,Visual Arts & Galleries,North,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Show Me Seattle Tours,"Ongoing |  Seattle, WA"," Seattle, WA",Tours & Attractions,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
LeMay – America’s Car Museum,Ongoing |  LeMay - America's Car Museum, LeMay - America's Car Museum,Museums,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. South southeast wind around 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
History Link Tours,"Ongoing |  Seattle, WA"," Seattle, WA",Tours & Attractions,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
West Seattle Farmers Market – Sundays,Ongoing |  West Seattle Farmers Market, West Seattle Farmers Market,Festivals & Special Events,West Seattle,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing |  Washington State History Museum, Washington State History Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Pioneer Square First Thursday Art Walk,Ongoing |  Pioneer Square, Pioneer Square,Visual Arts & Galleries,Pioneer Square,"Rain likely. Cloudy. High near 44, with temperatures falling to around 42 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
Deities and Demons: Supernatural in Japanese Art,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
American Art: The Stories We Carry,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Pacific Species,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Reverberations: Contemporary Art and Modern Classics,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
75 Years of Porsche,Ongoing |  LeMay - America's Car Museum, LeMay - America's Car Museum,Museums,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. South southeast wind around 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Manazma Sheen,Ongoing |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
